id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,quantity_to_sell_on_facebook,color,size,material
KR7,Chana Masala,"Chickpea curry with aromatic spices. Vegetarian and healthy.",in stock,new,550 PKR,https://wild-bites.pk/menu/karahi,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/karhai-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Chickpeas
BB1,Chicken Tikka,"Marinated chicken pieces, perfectly grilled. Smoky and tender.",in stock,new,650 PKR,https://wild-bites.pk/menu/bbq,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Grilled Chicken
BB2,Chicken Seekh Kebab,"Minced chicken kebab with spices, grilled to perfection.",in stock,new,700 PKR,https://wild-bites.pk/menu/bbq,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Grilled Chicken
BB3,Beef Seekh Kebab,"Spiced beef kebab, grilled and aromatic.",in stock,new,750 PKR,https://wild-bites.pk/menu/bbq,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Grilled Beef
BB4,Chicken Boti,"Chunks of tender chicken, grilled with spices.",in stock,new,750 PKR,https://wild-bites.pk/menu/bbq,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Grilled Chicken
BB5,Malai Boti,"Creamy marinated chicken pieces, grilled to tender perfection.",in stock,new,850 PKR,https://wild-bites.pk/menu/bbq,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Creamy,,Grilled Chicken
BB6,Chicken Tandoori,"Whole chicken marinated and roasted in tandoor. Smoky and juicy.",in stock,new,750 PKR,https://wild-bites.pk/menu/bbq,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Tandoori
BB7,Mixed Grill Platter,"Assorted grilled meats. Tikka, kebab, boti and tandoori.",in stock,new,1650 PKR,https://wild-bites.pk/menu/bbq,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Mixed,,Grilled Meats
RL1,Chicken Paratha Roll,"Crispy paratha with chicken filling. Perfect quick meal.",in stock,new,450 PKR,https://wild-bites.pk/menu/rolls,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Paratha
RL2,Beef Paratha Roll,"Beef wrapped in crispy paratha. Flavorful and filling.",in stock,new,500 PKR,https://wild-bites.pk/menu/rolls,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Paratha
RL3,Chicken Cheese Roll,"Chicken with melted cheese in paratha. Creamy delight.",in stock,new,500 PKR,https://wild-bites.pk/menu/rolls,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Paratha
RL4,Zinger Roll,"Spicy chicken roll with all the fixings. Hot and tasty.",in stock,new,500 PKR,https://wild-bites.pk/menu/rolls,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Red,,Paratha
RL5,Malai Boti Roll,"Creamy marinated chicken roll. Premium quality.",in stock,new,550 PKR,https://wild-bites.pk/menu/rolls,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Creamy,,Paratha
RL6,BBQ Chicken Roll,"BBQ flavored chicken in crispy paratha.",in stock,new,500 PKR,https://wild-bites.pk/menu/rolls,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Paratha
RL7,Mayo Garlic Roll,"Garlic mayo chicken roll. Simple and delicious.",in stock,new,400 PKR,https://wild-bites.pk/menu/rolls,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,White,,Paratha
CH1,Chicken Chow Mein,"Stir-fried noodles with tender chicken and vegetables.",in stock,new,750 PKR,https://wild-bites.pk/menu/chinese,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Yellow,,Noodles
CH2,Chicken Manchurian,"Crispy chicken balls in tangy sauce. Indo-Chinese classic.",in stock,new,850 PKR,https://wild-bites.pk/menu/chinese,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Chicken
CH3,Chicken Chili,"Spicy stir-fried chicken with peppers. Hot and delicious.",in stock,new,850 PKR,https://wild-bites.pk/menu/chinese,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Red,,Chicken
CH4,Chicken Shashlik,"Marinated chicken on skewers, stir-fried. Aromatic dish.",in stock,new,900 PKR,https://wild-bites.pk/menu/chinese,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Chicken
CH5,Chicken Fried Rice,"Indo-Chinese fried rice with chicken and vegetables.",in stock,new,650 PKR,https://wild-bites.pk/menu/chinese,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Yellow,,Rice
CH6,Egg Fried Rice,"Simple but delicious egg fried rice.",in stock,new,550 PKR,https://wild-bites.pk/menu/chinese,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Yellow,,Rice
CH7,Vegetable Chow Mein,"Vegetarian noodles with mixed vegetables. Healthy option.",in stock,new,600 PKR,https://wild-bites.pk/menu/chinese,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Green,,Noodles
CH8,Chicken Schezwan Rice,"Spicy schezwan rice with chicken. Bold and flavorful.",in stock,new,800 PKR,https://wild-bites.pk/menu/chinese,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Red,,Rice
BD1,Plain Naan,"Simple and soft naan bread. Perfect with any curry.",in stock,new,100 PKR,https://wild-bites.pk/menu/bread,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Flour
BD2,Garlic Naan,"Naan flavored with fresh garlic and butter.",in stock,new,180 PKR,https://wild-bites.pk/menu/bread,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Flour
BD3,Butter Naan,"Soft naan brushed with butter. Rich and tasty.",in stock,new,180 PKR,https://wild-bites.pk/menu/bread,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Flour
BD4,Cheese Naan,"Naan stuffed with melted cheese. Indulgent and delicious.",in stock,new,350 PKR,https://wild-bites.pk/menu/bread,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Flour
BD5,Roghni Naan,"Traditional naan brushed with oil. Soft and fluffy.",in stock,new,200 PKR,https://wild-bites.pk/menu/bread,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Flour
BD6,Tandoori Roti,"Whole wheat roti from tandoor. Healthy bread option.",in stock,new,70 PKR,https://wild-bites.pk/menu/bread,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Whole Wheat
SD1,Samosa,"Crispy triangular pastry with spiced filling. Classic snack.",in stock,new,100 PKR,https://wild-bites.pk/menu/sides,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Pastry
SD2,Chicken Samosa,"Samosa filled with spiced chicken. Hearty snack.",in stock,new,150 PKR,https://wild-bites.pk/menu/sides,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Pastry
SD3,Pakora,"Fried fritters with vegetables and spices. Crispy and tasty.",in stock,new,250 PKR,https://wild-bites.pk/menu/sides,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Chickpea Flour
SD4,Chicken Wings,"Spicy and juicy chicken wings. Perfect starter.",in stock,new,550 PKR,https://wild-bites.pk/menu/sides,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Chicken
SD5,Masala Fries,"Crispy fries with Pakistani spices. Addictive flavor.",in stock,new,350 PKR,https://wild-bites.pk/menu/sides,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Potatoes
SD6,Chana Chaat,"Street-style chickpea snack with spices. Light and healthy.",in stock,new,350 PKR,https://wild-bites.pk/menu/sides,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Chickpeas
SD7,Dahi Bhalla,"Soft yogurt dumplings in yogurt sauce. Tangy delight.",in stock,new,350 PKR,https://wild-bites.pk/menu/sides,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,White,,Yogurt
DR1,Mango Lassi,"Sweet mango yogurt drink. Refreshing and nutritious.",in stock,new,350 PKR,https://wild-bites.pk/menu/drinks,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Orange,,Yogurt
DR2,Sweet Lassi,"Traditional sweet yogurt drink. Cool and creamy.",in stock,new,250 PKR,https://wild-bites.pk/menu/drinks,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,White,,Yogurt
DR3,Salted Lassi,"Savory salted yogurt drink. Perfect with meals.",in stock,new,250 PKR,https://wild-bites.pk/menu/drinks,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,White,,Yogurt
DR4,Rooh Afza Milk,"Traditional rose-flavored milk. Sweet and aromatic.",in stock,new,300 PKR,https://wild-bites.pk/menu/drinks,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Pink,,Milk
DR5,Chai,"Hot traditional tea. Warming and comforting.",in stock,new,180 PKR,https://wild-bites.pk/menu/drinks,https://raw.githubusercontent.com/anthropicsai/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Tea
DR6,Soft Drink,"Refreshing cola soft drink. Ice cold.",in stock,new,150 PKR,https://wild-bites.pk/menu/drinks,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Black,,Carbonated
DR7,Bottled Water,"Pure drinking water. Stay hydrated.",in stock,new,100 PKR,https://wild-bites.pk/menu/drinks,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Clear,,Water
DS1,Gulab Jamun,"Sweet milk dumplings in sugar syrup. Melt-in-mouth dessert.",in stock,new,250 PKR,https://wild-bites.pk/menu/desserts,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Brown,,Milk Solids
DS2,Kheer,"Creamy rice pudding with cardamom. Traditional and comforting.",in stock,new,300 PKR,https://wild-bites.pk/menu/desserts,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,White,,Rice
DS3,Gajar Halwa,"Sweet carrot pudding. Festive and rich.",in stock,new,350 PKR,https://wild-bites.pk/menu/desserts,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Orange,,Carrots
DS4,Rasmalai,"Soft cheese dessert in cardamom milk. Elegant and delicious.",in stock,new,350 PKR,https://wild-bites.pk/menu/desserts,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,White,,Cheese
DS5,Jalebi,"Golden sweet spirals in sugar syrup. Crunchy and sugary delight.",in stock,new,250 PKR,https://wild-bites.pk/menu/desserts,https://raw.githubusercontent.com/anthonywisac-ui/lead-bot-v2-/main/images/deals-image.png,Wild Bites Restaurant,Food > Food Delivery,Food & Beverage,100,Golden,,Flour
